name,age,birth year,first_name,family_name,father name,mother name,alive,death_cause,occ,height,strength,speed,stamina,weight,charisma,willpower,intel,melanin,parental,compassion,dexterity,weapon_prof,wealth,academic,farmer,fighter,hunter,merchant,gatherer,ruler,years_service
s_64 324,56,17,324,s_64,64,4,0,lack of mass,retired,70.8232,36.5913,75.9766,63.7761,64.7449,75.7285,69.6375,82.9373,81.949,72.7376,73.4111,69.5494,0,1064.17,1179.31,945.629,811.804,1000.61,1123.49,975,1011.42,13
s_11 184 531 2401,16,69,2401,s_11,11 184 531,61 276 826,0,lack of mass,fighter,69.0432,57.3663,88.4793,89.0257,63.1281,70.6391,81.3267,77.2668,73.312,60.2738,81.1937,74.3038,0,0,1179.3,1153.84,910.726,1112.73,1053.89,975,1108.6,0
s_17 417 1701 4913,5,89,4913,s_17,17 417 1701,85 197 524 1456,0,disease,useless,23.3508,23.0038,23.9757,22.01,47.2114,74.5307,68.83,83.513,75.4358,20.076,75.0826,21.5823,0,0,1179.28,754.512,451.765,505.189,1112.09,975,634.577,0
s_44 153 576 2086 7254,19,102,7254,s_44,44 153 576 2086,5 367 1180 3237,1,alive,gatherer,60.1496,54.0858,60.5456,65.4833,193.404,70.0416,81.5188,77.1658,70.6545,81.8528,83.4062,82.3647,0,2756.17,1179.25,1092.53,870.716,1076.75,1044.98,975,1039.95,0
s_37 457 2147 8451,13,108,8451,s_37,37 457 2147,61 276 1574,1,alive,useless,55.6795,42.0966,50.4891,65.7548,79.8636,80.5759,76.7024,79.5712,68.5927,59.0968,71.8733,56.838,0,0,1179.22,991.831,696.074,848.433,1149,975,923.915,0
s_53 441 1292,22,52,1292,s_53,53 441,49,0,accident,gatherer,70.6457,56.3829,64.4373,73.789,176.902,81.535,70.9551,82.4443,76.5368,82.9069,76.1006,78.0185,0,11494.1,1179.22,1029.11,866.943,1072.93,1155.88,975,1073.37,0
s_21 176 1065 4195,37,84,4195,s_21,21 176 1065,40 160 752,1,alive,gatherer,68.5225,48.216,64.147,85.3429,160.362,69.951,78.4275,78.7023,62.9951,75.78,84.7001,63.088,0,28181,1179.16,1107.66,819.873,1016.83,1047.76,975,1037.02,0
s_99 323 964 10063,5,116,10063,s_99,99 323 964,21 137 928 4945,1,alive,useless,20.0061,20.9614,23.9975,24.9242,40.0106,69.63,81.4921,77.168,75.1807,20.6324,73.0108,22.8685,0,0,1179.14,849.747,436.389,486.974,1062.89,975,625.703,0
s_64 427 1418 3200 6578,18,99,6578,s_64,64 427 1418 3200,15 219 853,0,lack of mass,gatherer,66.1332,44.3591,71.4801,77.6835,72.4063,72.8424,78.7775,78.5232,64.3873,83.6317,77.2489,69.5036,0,0,1179.12,1083.72,844.413,1045.23,1080.97,975,1052.89,0
s_5 367 861 4141,2,84,4141,s_5,5 367 861,39 412 1612,0,accident,useless,10.9039,9.60491,11.2917,11.7402,25.1081,69.1352,84.6725,75.5719,71.6515,13.4593,77.7119,12.2823,0,0,1179.08,826.088,366.618,398.654,1045.24,975,562.165,0
s_43 1041 2637 9421,8,113,9421,s_43,43 1041 2637,61 328 878 2392,1,alive,useless,28.6526,33.3392,37.043,40.2412,55.3115,73.6207,66.9817,84.4169,73.6678,35.3699,71.4215,39.8637,0,0,1179.08,799.852,545.354,638.591,1115.75,975,715.42,0
s_1 100 506 3088,45,76,3088,s_1,1 100 506,56 227 1146,1,alive,fighter,61.811,60.8933,67.6959,81.3081,162.823,65.6241,76.0992,79.4718,75.5259,68.383,72.3505,72.5598,0,1013.76,1177.13,1116.32,887.547,1089.01,1044.48,975,1055.1,18
s_99 135 439 3522 9363,9,112,9363,s_99,99 135 439 3522,54 186 1521 4946,1,alive,useless,38.6978,41.828,38.8272,35.9325,65.5916,76.0466,72.6558,81.5765,72.5617,37.0572,77.026,40.471,0,0,1179.04,864.903,581.512,666.339,1113,975,764.394,0
s_43 329 745 1762 5444,14,93,5444,s_43,43 329 745 1762,96 204 757 2131,0,lack of mass,useless,51.7679,48.3081,71.6667,59.0009,41.7353,68.6281,81.6537,77.0769,80.113,56.8725,71.2347,55.8603,0,0,1179.04,1038.92,760.476,898.897,1059.16,975,939.934,0
s_40 160 1845 6627,16,99,6627,s_40,40 160 1845,37 457 1940,0,lack of mass,useless,61.1773,52.8193,79.9535,82.0152,59.8084,78.7921,69.3042,83.2477,77.7241,58.6947,77.3564,70.7771,0,0,1179,1005.77,839.488,1031.74,1136.57,975,1040.43,0
s_44 153 678 2785 7490,10,103,7490,s_44,44 153 678 2785,1 371 866,0,lack of mass,useless,39.6957,28.3085,51.6692,52.1378,22.806,78.4727,87.137,74.3301,73.7656,39.8595,65.0472,53.9138,0,0,1178.99,1005.13,646.014,783.597,1132.2,975,872.139,0
s_44 153 678 1983 7322,15,102,7322,s_44,44 153 678 1983,35 143 995 2532,0,lack of mass,useless,64.8297,36.2608,65.455,82.45,58.8344,66.6343,91.8323,71.982,71.9576,68.4864,81.581,59.4347,0,0,1178.98,1164.35,762.14,943.643,1009.22,975,995.53,0
s_3 297 1075,50,47,1075,s_3,3 297,1 145,0,lack of mass,gatherer,60.826,24.8809,54.5076,74.1922,50.1186,71.0289,64.349,85.558,66.0966,78.612,85.5408,75.3632,0,509.061,1178.94,898.735,753.068,974.478,1074.2,975,940.474,0
s_1 237 1277 8659,12,109,8659,s_1,1 237 1277,74 272 827 2551,0,lack of mass,useless,49.8375,32.2153,44.9822,53.9489,40.2524,67.3109,76.807,79.4896,76.8003,53.3052,70.5981,51.731,0,0,1178.93,932.182,630.974,765.897,1058.45,975,817.561,0
s_6 173 1555 3589 7520,18,103,7520,s_6,6 173 1555 3589,61 179 656 2190,1,alive,gatherer,61.7798,44.977,62.8498,86.7348,91.4444,69.2025,82.6578,76.5619,73.0912,86.6469,80.4717,73.3283,0,0,1178.91,1141.86,846.871,1067.56,1043.16,975,1055.04,0
s_3 444 3409 10264,4,117,10264,s_3,3 444 3409,44 153 1013,1,alive,useless,18.444,14.4094,18.2249,18.4825,38.5621,71.3083,69.8439,82.9641,77.019,21.3346,80.8817,22.4778,0,0,1178.86,707.838,379.818,425.575,1076.29,975,556.195,0
s_3 140 700 1848,15,63,1848,s_3,3 140 700,48 116 491,0,disease,useless,63.0162,46.9572,62.2524,65.448,143.03,82.0782,76.065,79.8525,77.0867,63.9344,78.9935,69.6472,0,0,1178.85,1021.8,807.275,993.161,1146.12,975,1026.06,0
s_35 202 550 1476,17,56,1476,s_35,35 202 550,61 195 564,0,lack of mass,useless,65.027,39.2922,67.8292,88.4517,67.3982,72.1313,70.8755,82.4443,64.5513,84.2592,84.5394,74.0908,0,0,1178.82,1002.03,795.927,1012.06,1073.17,975,1001.39,0
s_17 385 1329 8701,12,109,8701,s_17,17 385 1329,99 166 583 1401,1,alive,useless,53.613,38.6875,57.0551,51.9532,63.1608,72.2551,84.2597,75.7509,84.7833,43.2142,69.6179,48.8779,0,0,1178.81,1010.29,673.098,796.265,1083.8,975,882.573,0
s_74 355 1557 10455,3,118,10455,s_74,74 355 1557,99 323 964 4275,1,alive,useless,13.2493,10.1691,16.8756,17.9388,27.2269,82.8744,73.4326,81.1639,74.2568,15.737,87.9494,16.1864,0,0,1178.8,723.963,349.38,384.823,1137.71,975,570.519,0
s_15 400 1366 4367,10,86,4367,s_15,15 400 1366,27 342 1356,0,lack of mass,useless,44.2329,37.5205,43.932,44.1051,33.1675,73.324,68.1307,83.812,70.6793,33.9211,81.4912,46.716,0,0,1178.77,837.787,602.724,711.787,1091.72,975,779.216,0
s_96 204 1501,18,57,1501,s_96,96 204,56 478,0,lack of mass,gatherer,61.3863,39.994,68.0526,87.6088,61.1834,80.184,72.8777,81.4306,74.5734,82.8202,76.4594,73.6562,0,0,1178.7,1043.55,834.034,1059.92,1142.66,975,1062.63,0
s_56 227 1086 2386,4,69,2386,s_56,56 227 1086,3 140 1056,0,accident,useless,20.4643,20.4288,15.4414,19.3333,53.8818,79.1348,76.4374,79.6486,78.1672,23.0171,80.1873,18.7512,0,0,1178.67,807.223,424.052,470.399,1122.52,975,635.091,0
s_64 398 1560 4287 9165,10,111,9165,s_64,64 398 1560 4287,17 366 1529,1,alive,useless,43.3809,41.7289,40.9245,35.7508,72.0373,70.7042,77.4647,79.133,82.252,37.4232,77.3838,43.9987,0,0,1178.65,909.447,604.824,696.788,1067.56,975,779.895,0
s_43 876 2361 5443 10333,4,117,10333,s_43,43 876 2361 5443,56 315 1261 4179,1,alive,useless,17.9932,15.7082,12.0977,17.2376,45.4934,79.5744,81.6908,77.0183,69.8375,21.8595,77.9018,24.2367,0,0,1178.64,814.717,391.517,438.007,1122.27,975,609.33,0
s_44 153 505,2,31,505,s_44,44 153,86,0,accident,useless,11.2506,9.40037,11.5747,12.193,28.0573,77.5686,80.6676,77.5279,74.8353,12.8408,73.4754,11.5721,0,0,1178.62,790.788,359.398,390.734,1118.61,975,575.439,0
s_74 272 827 1847,16,63,1847,s_74,74 272 827,66,0,lack of mass,useless,64.9484,41.3582,60.9214,76.5295,62.5152,71.5574,75.8768,79.923,74.3435,85.1788,78.6336,75.2086,0,0,1178.61,1018.18,784.247,986.131,1073.4,975,983.267,0
s_21 176 509 1836 5375,16,92,5375,s_21,21 176 509 1836,25 161 483 1317,0,lack of mass,useless,62.9902,49.3398,68.9627,79.8639,66.985,78.2799,75.1423,80.2877,72.1877,62.3782,78.4527,81.5086,0,0,1178.59,1042.62,842.828,1055.1,1121.92,975,1047.1,0
s_5 410 1408 5264,16,91,5264,s_5,5 410 1408,40 486 1728,0,lack of mass,useless,56.8164,44.6552,58.8859,73.9513,37.1597,78.116,85.5663,75.0738,77.598,68.825,71.5457,70.1021,0,0,1178.57,1115.58,793.892,978.676,1118.94,975,1017.64,0
s_53 610 2422,52,69,2422,s_53,53 610,9 283,1,alive,gatherer,65.8021,43.5377,57.8898,65.4755,170.12,71.0953,65.6451,84.702,74.0324,83.9291,88.1475,71.4762,0,23787.8,1176.9,923.681,781.457,974.137,1066.88,975,957.391,0
s_64 427 9263,9,112,9263,s_64,64 427,27 107 824 4021,1,alive,useless,30.8329,26.7047,36.8262,39.4,46.6409,66.997,81.3701,77.1691,68.424,46.2844,80.401,41.2581,0,0,1178.54,912.843,554.764,654.837,1029.68,975,733.759,0
s_25 161 715 1715 5158,16,91,5158,s_25,25 161 715 1715,61 474 1994,0,lack of mass,useless,61.819,38.3922,52.5684,63.5673,54.4912,73.5401,76.3487,79.6787,77.1367,89.0683,79.1536,77.7428,0,0,1178.53,979.349,755.676,948.684,1085.51,975,948.001,0
s_21 270 889 3011 9161,10,111,9161,s_21,21 270 889 3011,61 195 2068 4921,1,alive,useless,37.7518,36.3243,34.7857,33.6273,76.2729,71.0239,77.0334,79.3351,73.0502,48.8246,74.6168,47.8597,0,0,1178.52,885.094,585.572,685.813,1075.94,975,756.65,0
s_20 222 587 1861 5684,27,94,5684,s_20,20 222 587 1861,64 119 646 1741,1,alive,fighter,63.0545,66.7823,73.9369,74.9261,161.343,78.7876,77.6948,79.0018,71.1942,64.8003,74.8991,79.1991,0,819.085,1178.49,1123.57,932.524,1134.43,1128.72,975,1121.38,10
s_1 371 1092 2963 9402,8,113,9402,s_1,1 371 1092 2963,64 427 3166,1,alive,useless,33.6728,28.7427,28.3544,36.8253,69.48,77.3474,72.4125,81.64,69.4836,44.1287,75.6183,34.8409,0,0,1178.46,827.225,506.531,590.112,1125.12,975,708.607,0
s_24 221 670 2235,20,67,2235,s_24,24 221 670,20 222 798,0,accident,gatherer,71.6969,48.1405,76.4321,77.9816,150.753,80.6116,67.4335,84.1281,69.7984,59.7396,76.0726,75.6878,0,5383.01,1178.45,985.268,861.466,1074.21,1154.52,975,1072.32,0
s_64 119 1368 3139 8197,7,107,8197,s_64,64 119 1368 3139,40 160 3983,0,accident,useless,31.2024,20.2213,34.9584,40.6006,44.7359,80.1086,74.0317,80.8157,68.9722,31.5728,76.1501,31.8796,0,0,1178.31,848.751,524.643,623.987,1140.91,975,748.943,0
s_99 135 821 4755,33,88,4755,s_99,99 135 821,25 118 871,1,alive,gatherer,61.3501,51.9205,55.2154,74.1041,193.518,76.9277,94.5658,70.5474,91.0093,80.9647,75.0397,72.6579,0,26630.5,1178.3,1229.46,849.652,1048.76,1091.46,975,1084.55,0
s_44 153 740 2832 9155,10,111,9155,s_44,44 153 740 2832,17 366 969 3010,1,alive,useless,41.7074,37.885,46.1818,51.1451,56.7171,61.7499,75.2375,80.2106,72.7658,37.6281,68.1038,47.8679,0,0,1178.29,920.824,626.445,745.605,1026.67,975,782.387,0
s_54 597 4733,11,88,4733,s_54,54 597,21 137 435 1898,0,lack of mass,useless,45.1986,37.0884,48.9328,45.6368,31.1607,71.6697,73.5765,81.0386,79.0503,40.4868,67.3839,57.6098,0,0,1178.27,896.925,658.884,789.545,1100.04,975,829.055,0
s_43 598 2466 9324,9,112,9324,s_43,43 598 2466,5 336 1657,1,alive,useless,37.4935,36.5418,43.7731,43.5622,54.9636,66.2326,69.6007,83.0235,81.0135,37.4704,74.4893,40.4408,0,0,1178.24,842.962,578.965,676.109,1053.72,975,737.277,0
s_17 385 1175 3383 9364,9,112,9364,s_17,17 385 1175 3383,64 119 622 1511 3795,1,alive,useless,33.3417,27.5119,40.8339,45.377,52.9158,80.8555,81.231,77.2054,68.2109,43.7164,75.4801,48.2874,0,0,1178.21,930.532,589.808,708.56,1136.64,975,809.672,0
s_35 202 550 2932 7564,15,104,7564,s_35,35 202 550 2932,27 107 971,0,lack of mass,useless,51.5031,41.8201,54.0143,66.4846,36.3202,78.2899,86.1111,74.764,70.2842,71.5939,69.5835,76.2558,0,0,1178.2,1085.48,779.904,969.914,1123.15,975,992.722,0
s_44 153 1585 4706,12,88,4706,s_44,44 153 1585,9 283,0,lack of mass,useless,49.4568,27.1689,49.8933,68.3523,35.9953,82.07,71.6845,81.9765,77.841,54.5548,78.4935,52.6063,0,0,1178.19,912.476,636.251,792.837,1153.43,975,874.434,0
s_64 427 7619,13,104,7619,s_64,64 427,54 415 3259,0,lack of mass,useless,52.4831,38.7086,54.0058,52.7819,45.8074,78.4845,75.5874,80.0229,73.8652,49.9553,76.4767,51.0828,0,0,1178.17,943.518,671.555,798.697,1126.51,975,881.661,0
s_15 103 737 3544 10690,2,119,10690,s_15,15 103 737 3544,17 417 1701 3961,1,alive,useless,10.8377,8.9594,10.1588,14.8793,21.3984,83.8393,81.2141,77.2089,70.9639,11.5756,87.9953,12.791,0,0,1178.16,779.704,328.696,353.402,1132.51,975,565.507,0
s_11 121 952 2197 5053 9667,7,114,9667,s_11,11 121 952 2197 5053,64 119 646 1741,1,alive,useless,27.8309,28.2848,36.8847,39.9386,49.6593,75.1615,79.8062,77.9119,74.098,30.95,75.539,30.7761,0,0,1178.15,897.86,520.119,598.992,1098.79,975,727.419,0
s_54 543 1629 8702,10,109,8702,s_54,54 543 1629,3 297 668 1935,0,lack of mass,useless,41.8676,31.8212,48.3893,50.2914,27.136,78.4213,70.8615,82.3798,72.7599,38.8025,74.3691,47.0613,0,0,1178.11,863.665,606.504,727.114,1137.35,975,810.143,0
s_61 179 516 1452,32,56,1452,s_61,61 179 516,48 499,0,disease,gatherer,69.1441,45.7972,70.9375,81.1883,159.999,68.5492,80.3063,77.6572,65.3118,79.1324,80.3061,76.7693,0,12416.5,1178.1,1103.71,866.181,1086.86,1042.2,975,1065.1,0
s_11 121 952 2197 5053 9964,6,115,9964,s_11,11 121 952 2197 5053,1 237 912 2223 4641,1,alive,useless,23.9079,26.4941,17.7642,23.906,61.4493,75.1209,76.6431,79.4888,74.1952,33.7262,85.7736,31.7447,0,0,1178.1,820.002,457.764,520.634,1082.77,975,647.483,0
s_17 366 1621 4558,12,87,4558,s_17,17 366 1621,21 137 435 1525,0,lack of mass,useless,46.5257,30.9496,46.9932,61.6884,17.6799,77.7492,75.9682,79.8253,73.5281,67.863,76.287,54.7879,0,0,1178.09,946.739,650.169,799.511,1121.15,975,867.402,0
s_74 355 1809,51,62,1809,s_74,74 355,28 158 783,0,lack of mass,gatherer,71.3662,31.2894,57.209,62.9259,85.4583,80.8278,74.2277,80.505,75.7412,88.3273,79.1045,76.8531,0,646.351,1178.05,977.672,789.547,993.469,1140.5,975,1011.4,0
s_44 153 740 4724,33,88,4724,s_44,44 153 740,40 303 1318,1,alive,fighter,67.7761,66.2513,77.5155,70.2856,162.428,74.5814,74.6479,80.4788,80.7844,77.5087,79.819,70.9017,0,165.209,1178.03,1081.55,906.232,1086.29,1095.27,975,1086.22,15
s_53 350 1563 5886,26,95,5886,s_53,53 350 1563,51 331 840,1,alive,gatherer,63.0134,49.3562,77.2988,82.8207,162.208,75.7854,81.6192,76.9909,76.9856,74.0942,77.1189,70.3304,0,17682.1,1178,1131.27,875.451,1082.65,1097.23,975,1095.02,0
s_21 364 1023 2838,19,73,2838,s_21,21 364 1023,98 243,0,disease,gatherer,69.1938,46.408,60.297,73.6222,177.788,74.0625,75.3994,80.0992,78.8318,85.9303,81.0272,70.0835,0,3.53519,1177.99,1038.68,809.688,1007.08,1086.68,975,1018.4,0
s_32 111 615 2230 7874,15,105,7874,s_32,32 111 615 2230,27 211 1119 2995,0,lack of mass,useless,66.1605,52.8094,82.9114,70.3739,67.5395,78.7833,86.177,74.7091,69.357,52.2094,74.0857,71.1751,0,0,1177.98,1123.17,856.439,1034.94,1117.44,975,1077.53,0
s_39 189 1308 4048,14,83,4048,s_39,39 189 1308,35 143 931,0,lack of mass,useless,55.5266,34.4715,54.4206,60.1565,44.5731,72.0019,78.1569,78.719,81.1335,60.5009,72.2587,61.5565,0,0,1177.98,971.031,696.681,857.022,1085.65,975,897.248,0
s_71 1287 3734 10428,3,118,10428,s_71,71 1287 3734,99 323 1187 3220,1,alive,useless,14.3521,14.862,15.1718,15.7006,30.2399,86.3685,77.2541,79.1691,78.4769,13.8758,79.1888,16.3613,0,0,1177.96,764.094,361.142,392.047,1173.71,975,594.816,0
s_28 295 708 2863,12,74,2863,s_28,28 295 708,71 187,0,lack of mass,useless,52.3093,37.5728,51.1023,55.3576,39.3392,66.251,76.3442,79.6233,76.3306,43.9052,75.4906,54.6018,0,0,1177.95,946.321,666.584,804.836,1041.65,975,844.084,0
s_11 184 531 2057 8632,12,109,8632,s_11,11 184 531 2057,21 176 509 2278,1,alive,useless,38.8725,38.3846,46.3398,49.0773,77.3564,74.3621,73.3792,81.1027,70.9722,54.2971,75.8971,50.5872,0,0,1177.92,903.665,637.12,760.37,1102.05,975,820.279,0
s_20 222 587 1492 5324,12,92,5324,s_20,20 222 587 1492,68 1124,0,lack of mass,useless,53.1149,37.1072,63.5937,60.502,41.3418,71.6204,78.6583,78.4631,75.74,47.1021,77.1959,48.2889,0,0,1177.92,982.212,683.797,816.115,1072.34,975,889.323,0
s_5 336 974 2599 5979,26,95,5979,s_5,5 336 974 2599,53 305 1822,1,alive,fighter,62.7192,62.8346,79.0575,73.2386,159.94,86.0265,83.2141,76.183,74.4313,65.6222,86.1701,72.4775,0,48.5236,1177.9,1156.04,917.559,1106.85,1148.39,975,1144.55,8
s_53 305 869 3467 7681,17,104,7681,s_53,53 305 869 3467,1 100 706 2050,0,lack of mass,useless,72.3103,52.6333,80.4002,83.3673,72.8732,68.1344,84.2108,75.6812,76.2099,64.0088,69.0526,77.7009,0,0,1177.87,1149,887.662,1094.13,1055.88,975,1084.71,0
s_39 412 1365 3548 10579,3,118,10579,s_39,39 412 1365 3548,5 410 1472 5186,1,alive,useless,13.7029,16.5571,16.5355,14.9061,29.9129,79.7343,76.5822,79.4949,68.9784,13.3032,66.9524,17.1463,0,0,1177.86,760.277,367.697,398.03,1152.72,975,577.123,0
s_74 355 1557 7012,10,101,7012,s_74,74 355 1557,10 128 450,0,lack of mass,useless,42.3606,29.6871,52.2775,49.8565,25.287,79.4777,77.9642,78.8004,75.0458,37.2099,82.8174,43.9227,0,0,1177.83,920.537,609.368,725.201,1117.11,975,831.693,0
s_27 211 1119 4405 8490,13,108,8490,s_27,27 211 1119 4405,43 329 1309 4396,1,alive,useless,55.2112,45.7249,45.2938,54.2682,86.2151,69.3195,78.119,78.7224,73.9042,60.7577,88.307,56.2787,0,0,1177.82,982.887,685.078,820.47,1034.79,975,868.798,0
s_74 465 1509 3576,41,80,3576,s_74,74 465 1509,28 497,1,alive,fighter,67.5196,64.8418,72.4487,77.0492,160.63,72.7214,65.5943,84.6528,75.6968,75.2279,73.226,86.744,0,350.511,1176.15,1021.47,935.003,1156.63,1107.96,975,1088.87,24
s_40 160 617 1768 5167,10,91,5167,s_40,40 160 617 1768,56 132 1474,0,lack of mass,useless,42.3847,27.3032,49.9139,54.5523,29.5428,81.5752,67.7701,83.8928,76.6463,41.0099,67.3153,43.9291,0,0,1177.78,834.919,588.115,711.034,1178.07,975,807.283,0
s_53 150 455 1170 4789,33,88,4789,s_53,53 150 455 1170,85 197 524 2106,1,alive,gatherer,55.6673,48.2528,57.3904,75.7781,174.582,71.9485,74.6659,80.4418,75.8283,77.3089,88.2415,81.4809,0,26883.7,1177.75,1045.31,845.133,1066.88,1059.88,975,1023.15,0
s_99 323 964 3802,18,82,3802,s_99,99 323 964,44 277 868,0,lack of mass,gatherer,65.8179,38.7571,59.8117,77.379,57.5852,80.393,78.1941,78.6764,75.7231,80.0831,75.5911,76.1713,0,0,1177.73,1059.99,819.296,1037.47,1137.6,975,1051.14,0
s_1 237 1277 5509,11,93,5509,s_1,1 237 1277,35 493 1576,0,disease,useless,41.134,43.6815,41.1487,46.7535,76.1146,73.6712,76.7175,79.4127,81.5922,48.432,73.354,43.9174,0,0,1177.72,961.763,654.836,768.351,1097.23,975,843.302,0
s_25 161 715 1715 4785,33,88,4785,s_25,25 161 715 1715,27 177 1050,1,alive,gatherer,67.7708,46.6636,67.3735,66.7385,172.234,77.847,73.3958,81.0731,76.292,70.2258,66.6411,67.5359,0,5314.11,1177.71,1001.93,810.296,994.014,1146.27,975,1020.02,0
s_5 113 1362 3828,17,82,3828,s_5,5 113 1362,35 202 711,0,lack of mass,fighter,70.4896,55.718,83.4076,88.9875,70.516,76.3307,83.1398,76.1964,77.8455,56.131,67.3599,72.9858,0,0,1177.66,1163.1,892.313,1094.57,1118.18,975,1116.97,0
s_64 324 1111 2370 8059,15,106,8059,s_64,64 324 1111 2370,21 392 1186 2888,1,alive,useless,54.9461,36.1455,55.8673,60.2041,83.3556,84.3555,81.0348,77.2461,74.4533,69.6463,80.0192,68.7783,0,0,1177.64,1001.53,729.243,903.06,1152.19,975,962.895,0
s_22 124 485 2000 5299,11,92,5299,s_22,22 124 485 2000,17 144 518,0,lack of mass,useless,48.3068,41.0544,42.039,51.2136,33.6205,67.617,78.0139,78.7521,82.0948,46.289,83.3761,58.338,0,0,1177.59,957.971,663.554,800.479,1032.82,975,835.797,0
s_56 315 1261 3420 7579,13,104,7579,s_56,56 315 1261 3420,27 342 877,0,lack of mass,useless,53.5996,32.7083,53.2644,62.7127,41.2145,71.0961,83.2751,76.12,79.8201,58.9117,82.1058,60.2197,0,0,1177.58,1018.87,693.669,854.636,1051.82,975,903.249,0
s_1 371 1092 2418 9755,7,114,9755,s_1,1 371 1092 2418,64 119 1202 3370,1,alive,useless,30.8389,22.3915,36.2005,38.9434,27.4951,72.2643,77.2015,79.1505,75.1072,31.2789,75.7904,33.3639,0,0,1177.51,857.198,506.427,592.402,1081.72,975,705.408,0
s_52 325 1370 4104 8733,12,109,8733,s_52,52 325 1370 4104,61 328 742 1970,1,alive,useless,43.4023,40.1499,44.5389,50.4193,84.4621,75.8958,81.0737,77.2126,93.1685,61.1322,78.7776,59.898,0,0,1177.49,981.45,675.743,816.482,1095.35,975,871.657,0
s_3 297 668 2237 7304,11,102,7304,s_3,3 297 668 2237,24 376 1001 2158,0,disease,useless,37.7014,37.4362,45.937,51.0161,76.1342,77.3528,78.326,78.5864,76.8876,56.2819,74.8413,48.594,0,0,1177.49,970.291,667.35,800.231,1117.55,975,870.705,0
s_35 143 638 2243 8047,15,106,8047,s_35,35 143 638 2243,1 275 3239,1,alive,useless,58.8128,39.9897,63.9415,75.0136,75.0414,81.7941,76.758,79.3669,76.6102,65.0359,80.7041,68.4714,0,0,1177.46,1015.46,764.16,952.108,1139.25,975,995.553,0
s_1 100 706 2050,56,65,2050,s_1,1 100 706,33 258 663,1,alive,fighter,61.1628,47.8664,68.7476,84.2413,121.454,63.5733,70.6628,82.0569,75.3662,91.9268,75.0253,82.9744,0,1053.83,1175.66,1051,891.407,1123.88,1032.53,975,1044.28,38
s_43 598 2153 6966,13,101,6966,s_43,43 598 2153,54 372 925,0,lack of mass,useless,46.5837,34.9721,54.8271,57.1277,31.6881,68.2361,79.6023,77.9423,74.0031,59.7675,79.6852,55.8079,0,0,1177.43,974.841,678.975,824.144,1042.11,975,864.551,0
s_17 385 1175 3383 9957,6,115,9957,s_17,17 385 1175 3383,69 181 997 3435,1,alive,useless,22.4731,20.1444,26.1033,34.8805,36.4283,70.9613,83.0181,76.2326,76.1562,30.8246,78.0818,29.8259,0,0,1177.42,890.228,471.633,546.8,1059.26,975,672.462,0
s_9 257 624 1500 3825 9658,7,114,9658,s_9,9 257 624 1500 3825,27 177 1095,1,alive,useless,26.8925,20.8273,35.1422,34.1566,46.4034,61.3954,75.7946,79.8418,83.1772,39.0682,85.8581,31.8407,0,0,1177.39,829.066,491.305,570.108,987.577,975,650.301,0
s_21 392 1186 3377,7,78,3377,s_21,21 392 1186,24 376 1465,0,accident,useless,31.2467,26.3798,34.5878,37.6568,62.3744,79.9437,76.6554,79.4104,69.1383,30.9685,72.4485,34.5684,0,0,1177.38,882.008,550.898,647.321,1142.94,975,767.43,0
s_40 160 495 1766,2,61,1766,s_40,40 160 495,1 237 589,0,disease,useless,9.78399,10.5798,13.4338,14.6745,23.6713,69.3901,68.0883,83.6924,68.2989,11.1884,80.7063,13.3633,0,0,1177.37,688.558,357.522,394.657,1065.4,975,526.322,0
s_21 392 1556 3941,38,83,3941,s_21,21 392 1556,43 598 1581,1,alive,gatherer,62.9934,45.4112,55.0826,67.2445,173.222,75.0978,75.0677,80.1998,71.8733,78.1224,77.5399,92.931,0,5068.31,1177.34,1014.67,857.643,1093.72,1102.6,975,1036.55,0
s_3 521 2711 9461,8,113,9461,s_3,3 521 2711,52 1031 3364,1,alive,useless,37.7962,29.8326,31.7852,34.855,65.015,83.7558,76.3109,79.578,78.2672,35.6492,79.8739,37.6954,0,0,1177.33,859.964,527.389,613.11,1155.28,975,752.793,0
s_96 551 2129 5057,18,90,5057,s_96,96 551 2129,37 369 1473,0,lack of mass,gatherer,67.4955,46.4673,63.9768,87.9193,70.1571,79.3887,83.5043,75.979,81.7554,79.7738,70.3145,80.3093,0,0,1177.31,1157.96,877.437,1112.32,1133.03,975,1115.72,0
s_27 342 1542 3918,13,83,3918,s_27,27 342 1542,68 131 934,0,accident,useless,53.2797,47.8642,53.9324,50.4589,97.0979,70.2679,72.6099,81.4262,69.3842,51.5304,75.4007,60.4363,0,0,1177.31,948.458,743.711,891.759,1075.35,975,907.297,0
s_1 237 912 2223 5255,30,91,5255,s_1,1 237 912 2223,44 319 1573,1,alive,fighter,69.5303,59.8054,66.6683,71.5089,185.955,79.864,74.4969,80.482,83.516,79.0516,73.7445,85.9904,0,204.715,1177.31,1064.49,908.55,1125.17,1144.4,975,1101.3,12
s_40 303 1062 3195 7603,10,104,7603,s_40,40 303 1062 3195,99 166 583 2371,0,lack of mass,useless,42.492,29.871,53.1466,47.2803,28.6917,84.3443,89.6744,72.8837,67.9641,38.0665,70.7212,46.562,0,0,1177.21,1018.95,632.055,749.682,1157.62,975,883.195,0
